"crop","soil_type","watering_guideline","basal_fertilizer","top_dressing_1","top_dressing_2","micronutrients","variety_tips"
"mungbean","Well-drained sandy loam to loam soil; pH 6.0–7.5; light to medium texture preferred; high organic matter beneficial; avoid waterlogging and saline conditions","4–6 irrigations; critical stages: germination (0–10 DAS), branching (25–30 DAS), flowering (35–40 DAS), pod filling (50–55 DAS); 350–450 mm total water","FYM 10 t/ha; N 25 kg/ha + P 50 kg/ha + K 25 kg/ha as basal; Rhizobium (mungbean-specific) 600 g/ha + Azospirillum 2 kg/ha + PSB 2 kg/ha seed treatment","N 25 kg/ha at 30 DAS (branching stage); apply in moist soil; total N: 50 kg/ha; avoid excess N which promotes vegetative growth at expense of pods","Foliar 2% DAP at 50% flowering; K 25 kg/ha MOP at pod filling if deficiency observed; no standard second mineral top dressing under normal conditions","ZnSO4 @ 25 kg/ha soil; 0.5% ZnSO4 foliar at flowering; borax 0.1% foliar at flowering; molybdenum 500 g/ha seed treatment for N fixation","Varieties: Co 6, VBN 2, KM 2, Pusa Vishal, SML 668; yield 800–1200 kg/ha; duration 60–70 days; summer (Feb–Mar) and kharif (Jun–Jul) seasons; two crops per year possible"
"muskmelon","Sandy loam rich in organic matter with good drainage; pH 6.5–7.5; form long channels 2.5 m apart; raised bed system (1.2 m width, 30 cm height) preferred","Irrigate before sowing then once a week; drip system: inline laterals at 1.5 m interval, drippers at 60 cm (4 LPH) and 50 cm (3.5 LPH); raised bed drip system recommended","FYM 20 t/ha; NPK 40:60:30 kg/ha as basal; Azospirillum 2 kg/ha + Phosphobacteria 2 kg/ha + Pseudomonas 2.5 kg/ha with FYM 50 kg/ha + neem cake 100 kg/ha before last ploughing; 75% of P (469 kg/ha superphosphate) as basal","N 40 kg/ha top dressing at 30 DAS; fertigation—vegetative stage (30 days): N 60.19 + P 7.49 + K 29.7 kg/ha via 12-61-0, 13-0-45, Urea split; establishment phase (10 days): N 19.78 + P 5.00 + K 9.95 kg/ha","Fertigation—flower initiation to first picking (30 days): N 60.09 + P 7.49 + K 19.8 kg/ha; harvesting stage (45 days): N 60.00 + P 5.00 + K 40.1 kg/ha; total fertigation dose: 200:100:100 kg NPK/ha","19:19:19 + micronutrient grade fertilizer at establishment (26.81 kg/ha) and harvest stage (26.31 kg/ha); ZnSO4 0.5% foliar if deficiency noted; neem cake 100 kg/ha pre-plant for soil health","Varieties: Pusa Sharbati, Hara Madhu, Durgapura Madhu, Arka Rajhans, Arka Jeet; yield 20 t/ha in 120 days; sow November–February; spacing 1.5 m × 30 cm in raised bed single-row system"
"orange","Deep well-drained loamy soils; pH 6.5–7.5; EC of water < 1.0 mS/cm; dry climate with 50–75 cm rainfall June–September; avoid waterlogging near trunk","Irrigate copiously at planting; once in 10 days regular irrigation; continuous during fruit development; avoid water near trunk (double ring or check bund method); stop 1–2 months before flowering; drip irrigation advisable","At planting: FYM 10 kg + topsoil in 75×75×75 cm pit; Year 1: FYM 10 kg + N 200 g + P 100 g + K 100 g/plant; apply P and K in October; N in 2 doses March and October","Annual increase: FYM +5 kg + N +100 g + P +20 g + K +40 g/plant/year; from 6th year: FYM 30 kg + N 600 g + P 200 g + K 300 g/plant/year; apply in basin 70 cm from trunk","Foliar spray containing ZnSO4 0.5% + Mn 0.05% + Fe 0.25% + Mg 0.5% + Boron 0.1% + Mo 0.003% once in 3 months at new flush; soil: 50 g each Zn, Mn, Fe per tree per year","ZnSO4 0.5%, MnSO4 0.05%, FeSO4 0.25%, MgSO4 0.5%, H3BO3 0.1%, (NH4)6Mo7O24 0.003% foliar spray quarterly; soil application 50 g each ZnSO4, MnSO4, FeSO4 per tree per year","Sweet orange: Sathugudi, Batavian, Mosambi, Malta blood red, Cutter Valencia; yield 30 t/ha; bearing from 5th year; fruit matures in 9–12 months; Mandarin: Coorg Orange, Kodai Orange for hill areas (500–1500 m MSL)"
"papaya","Well-drained soils of uniform texture; avoid poor drainage (causes collar rot); pH 6.0–7.0; tropical conditions; elevation up to 1200 m; pit size 45×45×45 cm","Irrigate copiously after planting then once a week; fertigation: 10 L/plant/day + 13.5 g urea + 10.5 g MOP/week via drip; soil application of superphosphate 300 g/plant every 2 months from 3–4 MAP","FYM 10 kg/plant as basal at planting; biofertilizers: AM fungi 50 g + PSB 25 g + Azospirillum 50 g + Trichoderma harzianum 50 g at planting; re-apply Azospirillum 20 g + PSB 20 g at 6 MAP","N 50 g + P 50 g + K 50 g/plant every 2 months from 3rd month after planting (after removing excess sex forms); continue at bi-monthly intervals throughout crop duration","Fertigation: 13.5 g urea/week (equivalent to ~6.2 g N/week) + 10.5 g MOP/week; SSP 300 g/plant at bi-monthly soil application from 3–4 MAP; re-apply Azospirillum 20 g + PSB 20 g at 6 MAP","Spray 0.5% ZnSO4 + 0.1% H3BO3 at 4th and 8th MAP to improve growth and yield; ZnSO4 0.5% + Boron 0.1% at 4th and 7th MAP for vector management integration","CO 8 (TNAU, dual-purpose): 220–230 t/ha; CO 7 (gynodioecious): 200–225 t/ha; CO 5 (table+papain): 200–250 t/ha; CO 3 (table): 100–120 t/ha; Red Lady (commercial); crop duration 24–30 months; sow June–September"
"peas","Well-drained sandy loam to loamy soils; pH 6.0–7.5; light to medium texture; high organic matter improves yield; avoid heavy clay and waterlogged soils; cool-season crop; shallow root system; weed-free seedbed critical","Weekly deep soaking at root level; critical stages: flowering and pod filling — keep soil consistently moist; shallow roots require monitoring (4–5 inch depth); use soaker hoses or mist sprayer at low pressure to avoid soil erosion; avoid waterlogging; 300–400 mm total; mulching conserves moisture and reduces watering frequency","Compost or well-rotted FYM 10 t/ha incorporated before planting; N 20 kg/ha + P 60 kg/ha + K 40 kg/ha as basal; Rhizobium leguminosarum inoculation 600 g/ha seed treatment; light starter liquid fertilizer (all-purpose balanced) at seedling emergence; P and K applied entirely as basal","Light balanced liquid fertilizer at 2-inch seedling height; foliar spray of 2% DAP at 50% flowering for pod set; N top dressing only needed if nodulation is visually poor (20 kg/ha at 30 DAS); avoid excess N which promotes vine/leaf growth at expense of pods","No standard second mineral top dressing; K 20 kg/ha MOP at pod filling if soil test indicates deficiency; single fertilization approach for most field conditions; organic peas: vermicompost or well-rotted manure worked into soil is sufficient without chemical top dressing","ZnSO4 @ 20 kg/ha; borax 5–10 kg/ha for boron; molybdenum 500 g/ha as seed treatment (critical for N fixation in peas); Mn foliar 0.1% if chlorosis; sulphur 10 kg/ha as gypsum improves protein content; micronutrient foliar at flowering stage for quality improvement","Bush types: Arkel, Bonneville, Meteor; climbing: Pusa Pragati, Pusa Snowball; yield 4–8 t/ha green pods; duration 60–90 days; cool-season crop sow Oct–Dec (India plains), Mar–Apr (hills); spacing 25×5 cm; support/stake for climbing varieties; harvest when seeds just outlined in pod"
"pigeonpeas","Well-drained deep loam to clay loam soil; pH 6.0–8.0; tolerates moderately alkaline soils; medium black soils in kharif; avoid waterlogging; deep rooted so 60+ cm depth ideal","Mainly rainfed; 2–3 supplemental irrigations; critical: flowering (75–80 DAS) and pod filling (100–110 DAS); total 400–500 mm; medium-duration 120–180 days, long-duration 240–280 days","FYM 10 t/ha; N 20 kg/ha + P 50 kg/ha + K 30 kg/ha as basal; Rhizobium (pigeonpea-specific) 600 g/ha + PSB 600 g/ha seed treatment; very low N input due to nodulation","N 20 kg/ha at 30–35 DAS only if nodulation is visually poor; foliar spray 2% urea at 45 DAS for vegetative vigor; total N max 40 kg/ha under good nodulation","Foliar 2% DAP at 50% flowering for pod set; K 20 kg/ha MOP at early pod stage; MnSO4 0.1% foliar for pod quality improvement","ZnSO4 @ 25 kg/ha soil; borax 10 kg/ha; 0.5% ZnSO4 + 0.1% borax foliar at flowering; molybdenum 500 g/ha seed treatment; sulphur 20 kg/ha for dhal quality","Short-duration (120–130 days): ICPL 87119, PPE 46-2; medium: ICPL 151, CO 6; long-duration: CO 5, BDN 2; yield 1200–1600 kg/ha; sow June–July (kharif); intercrop with sorghum, groundnut, or cotton at 1:4 ratio"
"pomegranate","Wide range of soils; drought-resistant and tolerant to salinity and alkalinity; cool winter and dry summer required; grows up to 1800 m elevation; pit size 60×60×60 cm","Copious irrigation essential during fruiting season; withhold irrigation 2 months prior to bahar treatment; in sandy/shallow soils withhold 4–5 weeks; resume irrigation after pruning for profuse flowering; regular irrigation throughout rest of season","Year 1: FYM 10 kg + N 0.20 kg + P 0.10 kg + K 0.40 kg/plant; pit filling with FYM and soil mixture at planting; biofertilizer: Pseudomonas fluorescens or Trichoderma at planting","Years 2–5: FYM 20 kg + N 0.40 kg + P 0.25 kg + K 0.80 kg/plant/year; apply immediately after pruning during bahar treatment; split into 2 doses if needed","Year 6+: FYM 30 kg + N 0.60 kg + P 0.50 kg + K 1.20 kg/plant/year; spray 2% KNO3 thrice at monthly intervals during and after flowering season; ethrel 2–2.5 mL/L + DAP 5 g/L at bahar initiation","Apply micronutrients based on soil test; ZnSO4 soil application for Zn deficiency; foliar spray of Boron and Zinc if leaf symptoms appear; Mn and Fe applications in alkaline soils","Bhagwa, Ganesh, Arakta, Jyothi (general); bacterial blight tolerant: Nayana, Kalpitiya, Nana; Hasta bahar (June–July flower, March–April harvest) gives best fruit color and fetches highest market price; preferred for export"
"rice","Clay to clay loam soils with good water retention; pH 5.5–7.0; puddled soil for transplanted rice; well-leveled fields; alluvial soils ideal; poor drainage or standing water tolerated","Transplanted: standing water 2–5 cm throughout vegetative stage; drain 7–10 days before harvest; SRI method: alternate wetting and drying (AWD) — irrigate when soil cracks appear; total 1200–2000 mm; critical: tillering (20–30 DAT) and panicle initiation (45–50 DAT)","FYM 10–12.5 t/ha incorporated at puddling; N 50 kg/ha + P 50 kg/ha + K 50 kg/ha as basal at transplanting; Azospirillum 2 kg/ha + PSB 2 kg/ha with FYM seed/soil treatment; 40 g Azospirillum seed treatment per kg of seed","N 50 kg/ha at active tillering stage (20–25 DAT); apply in standing water for uniform distribution; reduce to 25 kg/ha under Azospirillum use","N 25 kg/ha at panicle initiation stage (45–50 DAT); K 25 kg/ha if potassium deficiency observed at panicle initiation; 2% KNO3 foliar at grain filling for improved milling quality","ZnSO4 @ 25 kg/ha at basal or foliar 0.5% ZnSO4 at 40 and 50 DAS; Fe: FeSO4 10 kg/ha + citric acid 2.5 kg/ha foliar for iron chlorosis; Si: silica slag 500–1000 kg/ha for blast resistance","High-yielding: CO 51, ADT 45, IR 64, Swarna; aromatic: Basmati 370; hybrid: KRH 2, DRRH 3; yield 5–7 t/ha transplanted, 4–5 t/ha direct sown; SRI method: 8–10 t/ha; duration 105–150 days depending on variety"
"rubber","Deep, fertile, laterite or loamy soil with pH 4.5–6.0; well-drained with no waterlogging; elevation 300–800 m MSL; tropical climate 20–34°C; annual rainfall 2000–5000 mm; sloping or undulating land suitable with drainage; 450–500 plants/ha at 7×3 m spacing","Primarily rainfed requiring 2000–4500 mm well-distributed rainfall; 125 mm/month minimum for optimum gaseous exchange; summer irrigation: 50% ETc via basin irrigation (superior to drip in subhumid zones); young plants (years 1–3): basin irrigation every 7–10 days in summer; drip or sprinkler for nursery; growth 2.8× higher under irrigation in subhumid tracts","Basal at planting: FYM 2.5 t/ha + rock phosphate 350 kg/ha in pit; pit filled with topsoil + compost; 3 months after planting: 10:10:4:1.5 NPK+Mg mixture @ 225 g/plant (100 kg/ha); leguminous cover crops (Pueraria, Calopagonium, Centrosema) for soil nitrogen and conservation","Immature rubber schedule (10:10:4:1.5 NPK+Mg mixture): 3 MAP: 225 g/plant, 9 MAP: 445 g/plant, 15 MAP: 450 g/plant (200 kg/ha), 21 MAP: 450 g (250 kg/ha), 27 MAP: 550 g (250 kg/ha), 33 MAP: 550 g (200 kg/ha), 39 MAP: 450 g (200 kg/ha); apply in April/May and September/October cycles","From 5th year to tapping age: 400 kg mixture/ha in 2 doses (April/May + September/October); matured tapping trees: NPK 10:10:10 mixture 900 g/tree (300 kg/ha) per year in 2 splits; MgSO4 10 kg per 100 kg mixture if Mg deficiency observed; biofertilizers: Azospirillum + PSB 50 g each at planting","MgSO4 supplement at 10 kg per 100 kg NPK if deficiency (orange-yellow interveinal chlorosis); B and Zn foliar if leaf symptoms; avoid copper fungicides (contaminates latex); lime/dolomite for pH correction if below 4.5; FYM and green manure crop incorporation annually","High yield RRII clones: RRII 430, RRII 429, RRII 105, RRII 417, RRII 422; RRIM 600 (latex physiology); PB 260, PB 217 (international high yield); tapping ready at 7–8 years (50 cm girth); yield 1500–2000 kg dry rubber/ha/year; RRIM 600 widely grown; cover crops: Pueraria phaseoloides, Desmodium ovalifolium"
"sugarcane","Medium to heavy textured soils; pH 5.0–8.5; deep, well-drained fertile soils preferred; high water retention capacity; avoid highly saline soils; black cotton soil and alluvial soils also suitable","Highly irrigated crop; 8–10 irrigations for plant cane; critical stages: germination (0–30 DAP), tillering (30–90 DAP), grand growth phase (90–210 DAP); furrow widened to 45 cm at 45 DAP and deepened at 90 DAP; total water 1500–2000 mm; drip irrigation can save 35% water","FYM 10–12.5 t/ha incorporated before planting; rock phosphate 350 kg/ha (or SSP 625 kg/ha) in furrow at planting; biofertilizers: Azospirillum 2 kg/ha + Gluconacetobacter diazotrophicus 2 kg/ha as sett treatment; basal P applied within 30–45 days of planting","N and K in 4 splits: 1st at 30–45 DAP, 2nd at 60–75 DAP, 3rd at 90–105 DAP, 4th at 120–135 DAP; blanket dose: N 275 kg/ha + K 112.5 kg/ha total; urea mixed with neem cake (4:1) to reduce volatilization; apply in 10 cm holes at 15 cm spacing around rows","Final N top dressing at 120–135 DAP; complete all N application minimum 5 months before harvest; ratoon crop: N 345 kg/ha + K 140 kg/ha in 4 splits; micronutrient mixture 50 kg/ha (FeSO4 20 kg + ZnSO4 10 kg + MnSO4 10 kg + CuSO4 5 kg + borax 5 kg/ha); fertigation up to 210 DAP recommended","Micronutrient mixture 50 kg/ha: FeSO4 20 kg + ZnSO4 10 kg + MnSO4 10 kg + CuSO4 5 kg + borax 5 kg/ha; ferrous sulphate foliar 2.5 kg/ha at 15 DAP if chlorosis; CuSO4 0.2% foliar twice if copper deficiency; silicon and sulphur beneficial for juice quality","Co-86032, Co-671, Co-7201 (early); CoC 671, Co-62175 (mid-late); TNAU main season Dec–May, special season Jun–Sep; expected yield 200–300 t/ha; harvest after 11 months; 1 kg N per tonne expected cane for plant crop, 1.25–1.5 kg N/tonne for ratoon"
"tea","Lateritic, alluvial, or peaty soils; strongly acidic pH 4.5–6.0 (optimum 4.8–5.0); well-drained with high organic matter content; South Indian hills 600–2200 m MSL; low calcium content preferred; slope soils with bench terracing","Drip irrigation: 2 mm/day in Nilgiris/Central Travancore with NK fertigation in 10 splits; sprinkler: 6.25 cm/ha every 20 days in Wayanad and Karnataka; rainfall requirement 125–150 cm well distributed over 8–9 months; subsoil irrigation via mud tubes (1 L/plant/week) during dry spells; maintain 80% relative humidity","Mulching with 25 t/ha of Guatemala grass immediately after planting; rock phosphate 30 kg P2O5/ha/yr (below 3500 kg/ha yield) or 40 kg P2O5/ha/yr (above 3500 kg/ha) in two 6-month splits with 300–500 g citric acid per split; dolomitic lime periodically to maintain pH 4.8","Plucking field NK ratio 1:1; pruned field 2:3 NK; rejuvenation pruned field 1:2 NK; N application: 150–300 kg N/ha/yr in 4–6 splits at minimum 3–4 week intervals; all NK applied by broadcast; MOP is potassium source; fertilizer placed 15–22 cm depth for young tea along drip circle","Phosphorus applied once in alternate years: 90 kg P2O5/ha for <3000 kg/ha yield; 60–80 kg P2O5/ha annually for 3000–4500 kg/ha yield; K2O 40–60 kg/ha; fertigation with NK 1:1 in drip system in 10 splits showed yield enhancement; foliar spray of NPK + Mg + micronutrients (Mangala Bio 20) at each round","ZnSO4 8–12 kg/ha/yr as foliar in 4–6 rounds: 1% ZnSO4 in 200 L water + MnSO4 500 ppm + boric acid 100 ppm + NAA 10 ppm per round; dolomitic lime for Ca and Mg; MgSO4 if K:Mg antagonism; Cu sulphate 10–20 kg/ha soil or 1% chelate foliar if deficient","UPASI clones: BSS 1-5, Athrey, Evergreen; Tamil Nadu: Pandian, Sundaram, Golconda, Jayaram; Assam: TV-26, TV-29; yield 3000–5000 kg made tea/ha under good management; harvest by two-leaves-and-a-bud plucking; plucking rounds every 7–12 days"
"tobacco","Light sandy loam to medium loam soils; pH 5.5–6.5; well-drained, low clay content preferred for cured leaf quality; red sandy loams for flue-cured; black soils for bidi tobacco; avoid heavy waterlogged soils; moderate fertility — over-rich soils reduce quality","6–8 irrigations; critical stages: transplanting (immediate), establishment (0–20 DAT), rapid growth (30–50 DAT), leaf development (50–70 DAT); avoid irrigation 2–3 weeks before harvest for quality curing; total 500–600 mm; drip irrigation improves quality and reduces disease; furrow irrigation common","FYM 10–15 t/ha incorporated 3–4 weeks before transplanting; N 60–80 kg/ha + P 60–80 kg/ha + K 120–150 kg/ha as basal; entire P and K as basal; K is critical for leaf quality and combustibility — use potassium sulphate (not MOP/KCl which increases Cl affecting combustion quality)","N split: 50–60% as basal, 40–50% top dressing at 3–4 weeks after transplanting (active growth); apply N close to plants in band; avoid N after rapid growth phase as it reduces nicotine and leaf quality; total N 60–100 kg/ha depending on type (flue-cured lower, dark air-cured higher)","Final N at 4–5 weeks after transplanting if growth slow; K top dressing (K2SO4 25–30 kg/ha) at leaf development stage; avoid MOP/KCl entirely for quality tobacco; no N after topping (flower removal) which is done at 50–60 cm height to concentrate leaf growth; potassium deficiency shows as mottled chlorosis","ZnSO4 @ 20 kg/ha soil application; boron 1–2 kg/ha (critical for cell wall and leaf quality); Mn foliar 0.1% if chlorosis; Mg deficiency common — MgSO4 25 kg/ha soil or 1% foliar; avoid chloride-based fertilizers as Cl reduces combustibility of cured leaf; sulphur from K2SO4 is beneficial","Flue-cured Virginia: Kanakaprabha, NCTB 1, K-326; bidi: Diksam, Bhavani; dark air-cured: GG 4, VRI 2; yield: FCV 1500–2200 kg/ha, dark air-cured 1200–1800 kg/ha; sow Sept–Oct in nursery, transplant Nov–Dec; duration 90–110 days from transplanting; topping at 50–60 cm height is critical management practice"
"watermelon","Sandy loam rich in organic matter with good drainage; pH 6.5–7.5; form long channels 2.5 m apart; raised beds 1.2 m width × 30 cm height for drip cultivation","Irrigate before sowing then once a week; drip system: inline laterals at 1.5 m, drippers at 60 cm (4 LPH) and 50 cm (3.5 LPH); irrigate beds 8–12 hrs continuously before planting; spray Ethrel 250 ppm (2.5 mL/10 L) 4 times at weekly intervals from 15 DAS","FYM 20 t/ha; P 55 kg/ha + K 55 kg/ha as basal; Azospirillum 2 kg/ha + Phosphobacteria 2 kg/ha + Pseudomonas 2.5 kg/ha with FYM 50 kg/ha + neem cake 100 kg/ha before last ploughing; 75% of P (469 kg/ha superphosphate) as basal","N 55 kg/ha at 30 DAS; fertigation—vegetative stage (30 days): N 60.19 + P 7.49 + K 29.7 kg/ha via 12-61-0 (12.28 kg/ha), 13-0-45 (66 kg/ha), Urea (109 kg/ha); establishment (10 days): N 19.78 + P 5.00 + K 9.95 kg/ha","Fertigation—flower initiation to first picking (30 days): N 60.09 + P 7.49 + K 19.8 kg/ha; harvesting stage (45 days): N 60.00 + P 5.00 + K 40.1 kg/ha; total dose: N 200 + P 100 + K 100 kg/ha; fertigation inputs: Urea 351 kg/ha, 13-0-45 199 kg/ha, 12-61-0 25 kg/ha, 19:19:19 53 kg/ha","19:19:19 + micronutrient grade at establishment (26.81 kg/ha) and harvest (26.31 kg/ha); ZnSO4 0.5% foliar if Zn deficiency; neem cake 100 kg/ha as pre-plant soil health amendment","Varieties: Sugar Baby, Arka Manik (25–30 t/ha in 120 days); hybrids: Arka Jyoti, Sonna, Suvarnima (80–90 t/ha); preferred: Mithila, Suganthi, Kiran, Simran, Vishal; sow November–December; spacing 0.9 m between hills with 2 seedlings per hill"
"wheat","Well-drained loamy to clay loam soils; pH 6.0–7.5; alluvial soils of Indo-Gangetic plains ideal; avoid waterlogged and sandy soils; silt loam with 6.8 pH optimal; organic matter ≥1% preferred","Irrigated timely sown: 5–6 irrigations; critical stages: CRI (20–21 DAS), tillering (40–45 DAS), jointing (60–65 DAS), booting (75–80 DAS), flowering (90–95 DAS), grain filling (105–110 DAS); water 3.0 cm at CRI, 4.5 cm at booting, 5.5 cm at flowering; rainfed: 250–350 mm total","FYM 2–3 t/ha incorporated 5–6 weeks before sowing; 1/3 N + full P + full K as basal at sowing; NWPZ/NEPZ: N 150 + P 60 + K 40 kg/ha; NHZ: N 120 + P 60 + K 40 kg/ha (timely sown irrigated); rainfed: N 60 + P 30 + K 20 kg/ha applied entirely at sowing; ZnSO4 25 kg/ha in Zn-deficient soils","Remaining 2/3 N in two equal splits: first 1/3 at CRI irrigation (20–21 DAS), second 1/3 at second irrigation; light soils: 1/2 N at sowing, 1/4 at 1st irrigation, 1/4 at 2nd irrigation; use urea; late-sown irrigated: total 90:60:40 kg NPK/ha; foliar urea 3% spray at tillering if N-deficient","Final N (last 1/3) at second irrigation (tillering/jointing stage 40–45 DAS); MnSO4 2.5 kg in 500 L water 2–3 times near first irrigation; ZnSO4 25 kg/ha soil or 0.5% foliar spray for Zn deficiency; S 20 kg/ha as gypsum for S-deficient soils; no N after jointing stage","ZnSO4 @ 25 kg/ha; MnSO4 foliar 2–3 times at 2.5 kg/500 L water; sulphur 3–5 kg/ha as S (via SO₄²⁻); iron foliar FeSO4 + citric acid if chlorosis; boron 1 kg/ha if deficient; balanced NPK prevents 35%+ soil micronutrient depletion seen in rice-wheat systems","NWPZ irrigated timely: HD 2967, WH 1105, PBW 621; NHZ: HS 507, VL 829 (rainfed); late sown: WH 1124, PBW 590; yield 4–6 t/ha irrigated timely sown, 3–4 t/ha NHZ; sow Nov 1–15 (NWPZ); seed rate 100 kg/ha timely, 125 kg/ha late or rainfed"
